community_num,community,population,tracts,broad_walk_min,museum_walk_min,broad_within_1mi,museum_within_1mi,poverty_rate,no_vehicle_rate,black_share,hispanic_share,median_income
19,Belmont Cragin,72088.0,17,32.24446969347359,32.79529343143171,0.17804627677283322,0.14443457995782932,0.15746029026052544,0.1380944741728888,0.04486183553434691,0.7814754189324159,70209.26754799689
20,Hermosa,22576.0,6,7.70687864472991,8.90426618999809,1.0,0.8226435152374203,0.1347076068199131,0.10779291086258677,0.030917788802267896,0.848644578313253,70769.61113571934
21,Avondale,35533.0,10,10.095029257726095,28.349752802761603,1.0,0.0,0.130571976648444,0.17897256948252135,0.0345875664874905,0.49677764331747953,92274.49615850055
22,Logan Square,69944.0,26,13.050742803953586,16.799548419425054,0.7804100423195699,0.6306473750428915,0.10591402862076232,0.2135957855450172,0.06272160585611346,0.3343388996911815,110060.20722292119
23,Humboldt Park,56153.0,15,13.926849453848536,16.607163659864735,0.8792584545794526,0.8792584545794526,0.26382361327354326,0.2667060805343421,0.3188965861129414,0.537638238384414,58668.9813010881
24,West Town,89412.0,32,7.99408747631298,10.864466505418267,0.9467632979913211,0.9127410191025813,0.08069757990285456,0.20273720242842033,0.06878271372970071,0.19624882566098512,142305.60674182436
25,Austin,97452.0,24,45.18586443120159,48.26035187418454,0.0,0.0,0.23227967961554064,0.28532817997341237,0.6935106513976111,0.2176661330706399,52411.122954250095
26,West Garfield Park,15096.0,10,25.71413796976995,35.15683548451477,0.26722310545839956,0.0,0.3078776820079703,0.30310682061233407,0.893879173290938,0.08326709062003179,44375.95697597894
27,East Garfield Park,20731.0,12,9.849677337202465,18.555980033767767,1.0,0.5403502001833004,0.38117131394979686,0.3786695660098041,0.8006367276060007,0.10597655684723362,40074.89428571428
28,Near West Side,68165.0,20,5.600000341981011,8.991651208134401,1.0,0.8784126751265312,0.16097850536817007,0.3240898608656208,0.24706227536125577,0.11571921073864887,117790.68973071511
29,North Lawndale,33958.0,14,12.672296891765313,41.781094437701164,0.9331232699216679,0.04434890158431003,0.318600514379788,0.3216048069504174,0.7954532069026444,0.15033276400259143,49733.32852235843
30,South Lawndale,69884.0,18,11.791729556113188,43.70014923950551,0.8754221280979909,0.0,0.19409582920780616,0.19111790711664273,0.12022780607864461,0.8072806364833152,59623.78306908591
31,Lower West Side,33446.0,11,6.500321711158065,9.392691494724122,0.8813012019374514,0.8813012019374514,0.1698365001778869,0.24561680963064345,0.02903187227172158,0.6823237457394008,77188.63645876935
32,Loop,42550.0,6,4.0875493460592915,4.278992962725623,1.0,1.0,0.1146244182094965,0.49035343783622776,0.11290246768507638,0.10547591069330199,119665.97059929495
33,Near South Side,30482.0,5,5.498990477508257,5.656906776483494,1.0,1.0,0.08998689692099132,0.22370347609658645,0.2627124204448527,0.07909585985171577,124851.17229840561
34,Armour Square,13848.0,5,7.412637740458445,8.610116395205534,1.0,1.0,0.24411733270919653,0.3542252268275112,0.11770652801848643,0.04643269786250722,44607.326978625075
35,Douglas,21088.0,10,13.83392698346694,25.627839798510156,1.0,0.29338960546282244,0.24250934533888313,0.4264775318608437,0.6605178300455236,0.07829097116843703,61797.45266737729
36,Oakland,3580.0,2,16.49689045423661,40.222508265092166,1.0,0.0,0.4723463687150838,0.41680663252128874,0.8832402234636871,0.034916201117318434,39098.24022346369
37,Fuller Park,2270.0,2,14.034857103108644,22.32086528187091,1.0,0.31938325991189426,0.5682819383259912,0.5393802085877153,0.8101321585903084,0.07841409691629955,19938.614537444933
38,Grand Boulevard,25181.0,13,7.7406621179658135,24.431949840527096,1.0,0.27687542194511733,0.2555678632548085,0.2796105333106052,0.844763909296692,0.04598705373098765,59662.148723243714
39,Kenwood,12580.0,6,6.5922420024319575,22.48719839857454,1.0,0.4888712241653418,0.24533164725065845,0.35626019739002474,0.6978537360890302,0.04077901430842607,74945.04786545924
40,Washington Park,12313.0,6,4.973084384373309,9.694039674966165,1.0,1.0,0.41076079318390574,0.35553920453663496,0.9237391374969545,0.028993746446844798,36634.71683649621
41,Hyde Park,20071.0,9,4.574430946597794,6.524505178303575,1.0,1.0,0.2142995196368433,0.41264180002399864,0.2506601564446216,0.08415126301629217,79835.87813262916
42,Woodlawn,26211.0,11,11.767518390341491,12.19115927084351,1.0,0.9218267139750487,0.3154347767862951,0.36064552379818526,0.7702872839647477,0.041700049597497235,43895.815254237285
43,South Shore,47596.0,14,20.484889407738073,21.906267512157214,0.5624632322043869,0.46398857046810654,0.2767690232770848,0.365238083278604,0.9100764770148752,0.03162030422724599,45747.52909908396
44,Chatham,29895.0,10,31.378282031042758,35.87510560909522,0.0,0.0,0.24871313035011872,0.27920383353589523,0.9269108546579695,0.042381669175447396,48579.47048001338
45,Avalon Park,9071.0,2,24.24906189697304,28.824288398447035,0.0,0.0,0.10120163157314518,0.21703965081532825,0.8832543269760776,0.05655385293793407,61113.38033292911
46,South Chicago,27551.0,9,37.568100991487896,37.568100991487896,0.0,0.0,0.30239101327344214,0.3184616789653306,0.6904286595767849,0.23578091539327067,45179.57765598345
47,Burnside,2304.0,1,13.642055962257897,13.642055962257897,1.0,1.0,0.2677951388888889,0.34106280193236715,0.9184027777777778,0.048177083333333336,47054.0
