term,label,estimate,std_error,p_value,ci_low,ci_high
const,Constant,24.909964703002434,25.384079772586112,0.3264338067205501,-24.841917431958034,74.6618468379629
poverty_rate,Poverty rate,-13.243337140519357,6.786538266995745,0.05100796882122912,-26.54470772353389,0.0580334424951765
no_vehicle_rate,No-vehicle household rate,-5.364665311734769,4.30491889562339,0.21270160394876536,-13.802151303522557,3.0728206800530193
black_share,Black population share,7.374888796008459,2.484405178572101,0.002992837459333258,2.5055441230023394,12.244233469014578
hispanic_share,Hispanic population share,8.571921218025874,2.586119511090169,0.0009177822042517492,3.5032201165728107,13.640622319478938
log_median_income,Log median household income,-1.7915374342845694,2.0495359259841113,0.3820536797968175,-5.808554034234377,2.225479165665239
density_10k,Population density (10k/sq mi),-0.5942919736322672,0.2505198135460032,0.017680821398839995,-1.0853017855961231,-0.10328216166841125
dist_loop_mi,Distance to Loop (miles),2.060209058397858,0.17468148485620577,4.1870477176814844e-32,1.7178396393137159,2.4025784774820003
