group,tracts,population,mean_broad_walk_min_pop_weighted,mean_museum_walk_min_pop_weighted,share_pop_broad_within_1mi,share_pop_museum_within_1mi,mean_broad_count_1mi_pop_weighted,median_income_pop_weighted,poverty_rate_pop_weighted,no_vehicle_rate_pop_weighted
All tracts,782,2671789,18.779342186883785,23.802828177146864,0.6529965502515356,0.487835304359738,3.532370258280126,83361.68476486561,0.16849022321668264,0.23881603679917474
High-poverty tracts (top quartile),195,536051,20.853346761881316,28.0142902276924,0.5748911950542019,0.3718135028196944,1.8258393324515765,42475.01437301947,0.3580646041741943,0.3239610673731791
Low-poverty tracts (bottom quartile),195,751304,17.784518487801005,21.799454386681486,0.716387773790636,0.5627841725852651,5.133003418057138,118322.83736500474,0.05570494111604885,0.18556489369110407
High no-vehicle tracts (top quartile),195,624944,13.959615293852266,18.797524266468326,0.8129304385672956,0.6514423692362836,6.7632539875572855,69435.39662717402,0.2239038944606669,0.45832844428223357
Low no-vehicle tracts (bottom quartile),195,733986,27.010699871989665,30.528944503513777,0.4373721024651696,0.31092691141247925,1.1750946203333579,95295.76322032318,0.11096503595595537,0.07362152162331531
Majority Black tracts,255,684300,23.935622786016758,30.95821372308158,0.44938185006576065,0.24816454771299137,1.2043518924448342,49733.244473502826,0.2735100987631582,0.29495725551255975
Majority Hispanic tracts,163,631532,22.83823678033839,28.698265069461318,0.5644021205576281,0.36571385139628715,1.6011381846050556,70383.98287241734,0.16519964752174338,0.159480772607411
Majority White tracts,250,935004,14.381741197838043,18.303456611007796,0.8085291613725717,0.6565084213543472,5.806993339065929,117758.76855072277,0.08943627784874486,0.2401364438313056
